date,is_promotion,promotion_name,promo_format,promo_day_number,promo_duration,promo_start_date,promo_end_date,total_impressions,discounted_impressions,nb_artwork_clicks,nb_sessions,units_sold,bv
2025-01-01,0,,,,,,,918186,,33281,10440,18,24059.11
2025-01-02,0,,,,,,,1071568,,37056,12330,28,44350.46
2025-01-03,0,,,,,,,1125528,,35285,11610,19,38553.88
2025-01-04,0,,,,,,,1187098,,37999,12881,18,19671.73
2025-01-05,0,,,,,,,1474642,,45787,15294,13,14122.64
2025-01-06,0,,,,,,,1075413,,39507,12130,36,52424.24
2025-01-07,0,,,,,,,953341,,33308,11275,21,37875.55
2025-01-08,0,,,,,,,914723,,32823,11738,28,43310.9
2025-01-09,0,,,,,,,945146,,37459,13744,22,54924.47
2025-01-10,0,,,,,,,940454,,36481,12565,27,44432.66
2025-01-11,0,,,,,,,978567,,35861,11792,22,22234.94
2025-01-12,0,,,,,,,1319556,,48263,15068,24,20825.88
2025-01-13,0,,,,,,,1040594,,40072,13685,20,25042.48
2025-01-14,0,,,,,,,933865,,35752,12635,22,41041.03
2025-01-15,0,,,,,,,936978,,37088,12926,20,29708.96
2025-01-16,0,,,,,,,905721,,35672,11505,23,31769.68
2025-01-17,0,,,,,,,948477,,34861,11443,13,14191.4
2025-01-18,0,,,,,,,958767,,33269,10934,24,34163.19
2025-01-19,0,,,,,,,1156902,,37020,13042,31,41331.95
2025-01-20,0,,,,,,,1018194,,37554,12918,23,40766.78
2025-01-21,0,,,,,,,910851,,32610,11776,25,42355.47
2025-01-22,0,,,,,,,916677,,33629,12084,29,36252.9
2025-01-23,0,,,,,,,919496,,32116,12138,15,23703.04
2025-01-24,0,,,,,,,886784,,31143,11231,18,32361.57
2025-01-25,0,,,,,,,1003471,,35554,12488,9,12461.09
2025-01-26,0,,,,,,,1376351,,47278,15761,25,35767.13
2025-01-27,0,,,,,,,1043383,,38349,13411,20,50066.67
2025-01-28,0,,,,,,,973874,,30332,11503,18,18529.38
2025-01-29,0,,,,,,,896064,,31057,11190,17,39545.62
2025-01-30,0,,,,,,,946974,,30159,10827,17,32538.64
2025-01-31,0,,,,,,,876066,,28795,10377,17,34792.98
2025-02-01,0,,,,,,,925401,,29123,10244,18,22211.87
2025-02-02,0,,,,,,,1206030,,38324,13072,17,31287.87
2025-02-03,0,,,,,,,1040517,,35545,13089,33,45741.99
2025-02-04,0,,,,,,,960083,,33412,12225,20,21587.84
2025-02-05,0,,,,,,,906530,,32953,11591,18,17804.9
2025-02-06,0,,,,,,,961234,,33460,11913,24,36323.24
2025-02-07,0,,,,,,,980235,,32565,11564,19,33161.86
2025-02-08,0,,,,,,,1167459,,35034,12576,18,12721.09
2025-02-09,0,,,,,,,1523136,,48271,16649,18,26428.5
2025-02-10,0,,,,,,,1201257,,36823,13370,27,43373.74
2025-02-11,0,,,,,,,1101816,,34428,13019,20,22739.16
2025-02-12,0,,,,,,,1048613,,32346,12056,22,30486.58
2025-02-13,0,,,,,,,1013474,,31693,11654,7,8986.06
2025-02-14,0,,,,,,,1003553,,33378,11795,44,146208.35
2025-02-15,0,,,,,,,1022311,,31261,11709,19,19147
2025-02-16,0,,,,,,,1366444,,39367,14264,19,25785.16
2025-02-17,1,FEBRUARY25_3WEEK_PROMO,3_weeks,1,21,2025-02-17,2025-03-09,1709917,,49599,17819,53,48915.92
2025-02-18,1,FEBRUARY25_3WEEK_PROMO,3_weeks,2,21,2025-02-17,2025-03-09,1280890,,42857,15365,36,45095.72
