promotion_name,promo_format,promo_start_date,promo_end_date,promo_duration,days_with_disc_imp_data,total_impressions,discounted_impressions,nb_artwork_clicks,nb_sessions,units_sold,bv,impressions_per_day,disc_impressions_per_day,clicks_per_day,sessions_per_day,units_sold_per_day,bv_per_day,conv_rate,bv_per_total_imp,bv_per_disc_imp
FEBRUARY25_3WEEK_PROMO,3_weeks,2025-02-17,2025-03-09,21,0,24443040,,914824,312392,777,1051247.21,1163954.3,,43563.0,14875.8,37.0,50059.39,0.002487,0.043,
APRIL25_1WEEK_PROMO,1_week,2025-04-28,2025-05-04,7,0,6284907,,260152,110740,246,277944.37,897843.9,,37164.6,15820.0,35.143,39706.34,0.002221,0.0442,
JUNE25_1WEEK_PROMO,1_week,2025-05-26,2025-06-01,7,0,7039460,,240442,77871,292,357388.89,1005637.1,,34348.9,11124.4,41.714,51055.56,0.00375,0.0508,
JULY25WKND1_PROMO,weekend,2025-07-18,2025-07-20,3,0,3375888,,113449,33908,141,155909.81,1125296.0,,37816.3,11302.7,47.0,51969.94,0.004158,0.0462,
JULY25WKND2_PROMO,weekend,2025-07-25,2025-07-27,3,0,3389552,,108472,39272,72,99315.35,1129850.7,,36157.3,13090.7,24.0,33105.12,0.001833,0.0293,
AUGUST25_1WEEK_PROMO,1_week,2025-08-25,2025-08-31,7,0,7973729,,311232,112309,276,288101.4,1139104.1,,44461.7,16044.1,39.429,41157.34,0.002458,0.0361,
SEPTEMBER25WKND_PROMO,weekend,2025-09-12,2025-09-14,3,0,3552155,,140264,47419,156,169578.23,1184051.7,,46754.7,15806.3,52.0,56526.08,0.00329,0.0477,
SEPTEMBER25_1WEEK_PROMO,1_week,2025-09-29,2025-10-05,7,0,7369681,,578393,121722,293,302534.89,1052811.6,,82627.6,17388.9,41.857,43219.27,0.002407,0.0411,
OCTOBER25WKND_PROMO,weekend,2025-10-17,2025-10-19,3,0,3576805,,142862,37739,116,151255.27,1192268.3,,47620.7,12579.7,38.667,50418.42,0.003074,0.0423,
NOVEMBER25_3WEEK_PROMO,3_weeks,2025-11-17,2025-12-07,21,0,25366149,,786587,264537,909,1137874.36,1207911.9,,37456.5,12597.0,43.286,54184.49,0.003436,0.0449,
JANUARY26_10DAYS_PROMO,10_days,2026-01-02,2026-01-11,10,0,13486723,,385781,118667,486,644142.74,1348672.3,,38578.1,11866.7,48.6,64414.27,0.004095,0.0478,
FEBRUARY26_10DAYS_PROMO,10_days,2026-02-06,2026-02-15,10,4,13020042,2766043,385820,119816,419,440011.18,1302004.2,276604.3,38582.0,11981.6,41.9,44001.12,0.003497,0.0338,0.1591
MARCH26_10DAYS_PROMO,10_days,2026-03-13,2026-03-22,10,10,9590547,4396034,285726,106666,300,397006.34,959054.7,439603.4,28572.6,10666.6,30.0,39700.63,0.002813,0.0414,0.0903
MARCH26_8DAYS_PROMO,8_days,2026-03-29,2026-04-05,8,8,7588890,3531715,1684060,108814,208,236327.74,948611.3,441464.4,210507.5,13601.8,26.0,29540.97,0.001912,0.0311,0.0669
APRIL26_4DAYS_PROMO,4_days,2026-04-16,2026-04-19,4,4,4092148,1904284,1146612,61503,111,147047.93,1023037.0,476071.0,286653.0,15375.8,27.75,36761.98,0.001805,0.0359,0.0772
APRIL26_8DAYS_PROMO,8_days,2026-04-26,2026-05-03,8,8,7990790,3498158,1757051,124491,180,237451.49,998848.8,437269.8,219631.4,15561.4,22.5,29681.44,0.001446,0.0297,0.0679
MAY26_4DAYS_PROMO,4_days,2026-05-14,2026-05-17,4,4,4382815,1982042,797110,68939,125,139756.35,1095703.8,495510.5,199277.5,17234.8,31.25,34939.09,0.001813,0.0319,0.0705
MAY26_8DAYS_PROMO,8_days,2026-05-24,2026-05-31,8,8,6030247,2642439,1314048,127931,199,276404.35,753780.9,330304.9,164256.0,15991.4,24.875,34550.54,0.001556,0.0458,0.1046
JUNE26_4DAYS_PROMO,4_days,2026-06-11,2026-06-14,4,4,3725634,1629863,857356,67311,153,172587.85,931408.5,407465.8,214339.0,16827.8,38.25,43146.96,0.002273,0.0463,0.1059
JUNE26_8DAYS_PROMO,8_days,2026-06-21,2026-06-28,8,8,6071293,2646430,1265341,128482,154,198094.98,758911.6,330803.8,158167.6,16060.3,19.25,24761.87,0.001199,0.0326,0.0749
