promotion_name,promo_format,promo_duration,promo_day_number,date,total_impressions,discounted_impressions,nb_artwork_clicks,nb_sessions,units_sold,bv,daily_conv_rate,daily_bv_per_impression
APRIL25_1WEEK_PROMO,1_week,7,1,2025-04-28,1072673,,43478,16879,47,45562.11,0.002785,0.0425
APRIL25_1WEEK_PROMO,1_week,7,2,2025-04-29,873007,,34428,18120,27,30462.94,0.00149,0.0349
APRIL25_1WEEK_PROMO,1_week,7,3,2025-04-30,460597,,32809,13595,30,31662.48,0.002207,0.0687
APRIL25_1WEEK_PROMO,1_week,7,4,2025-05-01,876762,,32542,15630,29,44510.64,0.001855,0.0508
APRIL25_1WEEK_PROMO,1_week,7,5,2025-05-02,841125,,37103,18005,30,38857.52,0.001666,0.0462
APRIL25_1WEEK_PROMO,1_week,7,6,2025-05-03,900473,,34482,12671,26,17120.69,0.002052,0.019
APRIL25_1WEEK_PROMO,1_week,7,7,2025-05-04,1260270,,45310,15840,57,69767.99,0.003598,0.0554
APRIL26_4DAYS_PROMO,4_days,4,1,2026-04-16,1000392,419411,568189,23405,23,30485.88,0.000983,0.0305
APRIL26_4DAYS_PROMO,4_days,4,2,2026-04-17,1010029,498996,205565,13629,17,34177.5,0.001247,0.0338
APRIL26_4DAYS_PROMO,4_days,4,3,2026-04-18,939517,442860,210795,11583,33,42702,0.002849,0.0455
APRIL26_4DAYS_PROMO,4_days,4,4,2026-04-19,1142210,543017,162063,12886,38,39682.55,0.002949,0.0347
APRIL26_8DAYS_PROMO,8_days,8,1,2026-04-26,1227280,475044,233435,15143,24,26778.34,0.001585,0.0218
APRIL26_8DAYS_PROMO,8_days,8,2,2026-04-27,972657,426181,231314,13158,18,27885.76,0.001368,0.0287
APRIL26_8DAYS_PROMO,8_days,8,3,2026-04-28,899278,399825,226676,14438,21,25232.93,0.001454,0.0281
APRIL26_8DAYS_PROMO,8_days,8,4,2026-04-29,892703,385777,166277,11417,23,16293.72,0.002015,0.0183
APRIL26_8DAYS_PROMO,8_days,8,5,2026-04-30,848472,381701,225266,16456,18,30083.27,0.001094,0.0355
APRIL26_8DAYS_PROMO,8_days,8,6,2026-05-01,849549,373343,214631,19642,11,11575.4,0.00056,0.0136
APRIL26_8DAYS_PROMO,8_days,8,7,2026-05-02,1007559,466560,228181,15129,28,50840.39,0.001851,0.0505
APRIL26_8DAYS_PROMO,8_days,8,8,2026-05-03,1293292,589727,231271,19108,37,48761.68,0.001936,0.0377
AUGUST25_1WEEK_PROMO,1_week,7,1,2025-08-25,1229498,,53563,18542,46,73749.72,0.002481,0.06
AUGUST25_1WEEK_PROMO,1_week,7,2,2025-08-26,1223790,,53706,18046,43,41259.45,0.002383,0.0337
AUGUST25_1WEEK_PROMO,1_week,7,3,2025-08-27,992493,,41570,15228,35,26723.52,0.002298,0.0269
AUGUST25_1WEEK_PROMO,1_week,7,4,2025-08-28,952037,,37193,13040,26,21651.68,0.001994,0.0227
AUGUST25_1WEEK_PROMO,1_week,7,5,2025-08-29,1230669,,43371,17214,40,35129.49,0.002324,0.0285
AUGUST25_1WEEK_PROMO,1_week,7,6,2025-08-30,1003070,,36540,13927,32,29023.68,0.002298,0.0289
