month,nb_baseline_days,avg_daily_impressions,avg_daily_clicks,avg_daily_sessions,avg_daily_units_sold,avg_daily_bv
2025-01-01,31,1017861.6,35981.3,12346.5,21.355,33328.27
2025-02-01,16,1089255.8,34873.9,12549.4,21.437,33999.7
2025-03-01,22,1007269.0,33199.7,12133.0,18.364,30664.58
2025-04-01,27,827993.7,30817.6,12751.2,15.778,21461.45
2025-05-01,21,867837.5,29723.2,11414.0,17.238,24254.27
2025-06-01,29,763591.2,28054.8,10226.9,21.828,31896.76
2025-07-01,25,844937.4,30559.4,10892.8,16.32,24874.48
2025-08-01,24,884866.6,36888.7,12197.6,19.542,26827.8
2025-09-01,25,922214.2,45486.4,14578.9,18.6,25235.54
2025-10-01,23,859023.8,55407.0,11828.9,18.391,24814.98
2025-11-01,16,1174561.6,39178.3,12898.2,24.563,28897.21
2025-12-01,24,1033422.8,33542.1,10955.8,23.542,29906.37
2026-01-01,21,1101575.8,31124.2,10200.2,20.524,30565.34
2026-02-01,18,1157931.6,33658.4,10360.9,21.167,31201.34
2026-03-01,18,984956.5,39697.3,11050.2,17.167,23932.24
2026-04-01,16,878433.3,385440.7,35310.3,15.375,19369.82
2026-05-01,16,853268.0,216324.4,16837.5,14.063,23239.49
2026-06-01,18,697577.7,180005.7,14034.2,13.556,21410.98
2026-07-01,1,0.0,0.0,0.0,0.0,0
