status,impression_bucket,nb_artworks,pct_with_click,pct_with_wishlist,pct_with_add_to_cart,avg_click_rate,avg_wishlist_rate,avg_add_to_cart_rate
available,01. 1-50 impressions,325762,0.2458,0.0375,0.0062,0.0313,0.002,0.0004
available,02. 51-100 impressions,103940,0.6359,0.1498,0.0296,0.0297,0.0024,0.0006
available,03. 101-150 impressions,52103,0.7957,0.2436,0.0477,0.0299,0.0025,0.0006
available,04. 151-200 impressions,28679,0.8747,0.3188,0.0669,0.0303,0.0025,0.0006
available,05. 201-250 impressions,17270,0.9174,0.3852,0.0805,0.0304,0.0025,0.0006
available,06. 251-300 impressions,10927,0.9455,0.4369,0.0962,0.0307,0.0025,0.0006
available,07. 301-350 impressions,7370,0.9559,0.4726,0.1099,0.0296,0.0024,0.0005
available,08. 351-400 impressions,5415,0.9708,0.5276,0.123,0.0317,0.0025,0.0006
available,09. 401-450 impressions,3733,0.977,0.5409,0.1404,0.0316,0.0024,0.0006
available,10. 451-500 impressions,2854,0.9853,0.5645,0.1468,0.0299,0.0023,0.0005
available,11. 501+ impressions,14403,0.9942,0.6811,0.222,0.0272,0.002,0.0005
sold,01. 1-50 impressions,2079,0.988,0.4858,0.9817,0.3471,0.0299,0.079
sold,02. 51-100 impressions,1690,0.9905,0.5953,0.9864,0.15,0.0122,0.0236
sold,03. 101-150 impressions,1233,0.9935,0.6423,0.9903,0.1116,0.0085,0.0145
sold,04. 151-200 impressions,879,0.9989,0.727,0.9875,0.0956,0.0079,0.0107
sold,05. 201-250 impressions,631,1,0.7496,0.9889,0.0828,0.0067,0.0083
sold,06. 251-300 impressions,444,1,0.7568,0.991,0.0737,0.0059,0.007
sold,07. 301-350 impressions,363,1,0.7851,0.9862,0.0681,0.005,0.006
sold,08. 351-400 impressions,246,1,0.813,0.9837,0.0714,0.005,0.0054
sold,09. 401-450 impressions,215,1,0.8651,0.9953,0.0767,0.0053,0.0057
sold,10. 451-500 impressions,186,1,0.8817,0.9892,0.0879,0.0054,0.0062
sold,11. 501+ impressions,1103,0.9991,0.9211,0.9855,0.0478,0.0037,0.0028
