status,impression_bucket,nb_artworks,pct_with_click,pct_with_wishlist,pct_with_add_to_cart,avg_click_rate,avg_wishlist_rate,avg_add_to_cart_rate
available,001. 1-100 impressions,429702,0.3401,0.0647,0.0119,0.0309,0.0021,0.0005
available,002. 101-200 impressions,80782,0.8237,0.2703,0.0545,0.03,0.0025,0.0006
available,003. 201-300 impressions,28197,0.9283,0.4053,0.0866,0.0305,0.0025,0.0006
available,004. 301-400 impressions,12785,0.9622,0.4959,0.1154,0.0305,0.0024,0.0005
available,005. 401-500 impressions,6587,0.9806,0.5511,0.1432,0.0309,0.0023,0.0005
available,006. 501-600 impressions,3925,0.988,0.6148,0.171,0.0303,0.0023,0.0005
available,007. 601-700 impressions,2602,0.9923,0.6276,0.1852,0.0286,0.0021,0.0005
available,008. 701-800 impressions,1770,0.9944,0.6774,0.2006,0.0278,0.002,0.0005
available,009. 801-900 impressions,1160,0.9966,0.6819,0.2034,0.0268,0.0019,0.0005
available,010. 901-1000 impressions,940,0.9979,0.7223,0.2489,0.0264,0.0019,0.0005
available,011. 1001-1100 impressions,711,1,0.7173,0.2546,0.0254,0.0018,0.0005
available,012. 1101-1200 impressions,508,1,0.7028,0.2697,0.0258,0.0017,0.0004
available,013. 1201-1300 impressions,385,1,0.7403,0.2494,0.0234,0.0017,0.0004
available,014. 1301-1400 impressions,303,1,0.736,0.2409,0.0213,0.0015,0.0004
available,015. 1401-1500 impressions,279,1,0.7527,0.2437,0.0249,0.0016,0.0003
available,016. 1501-1600 impressions,252,0.996,0.7937,0.2698,0.0206,0.0016,0.0003
available,017. 1601-1700 impressions,203,1,0.7635,0.3202,0.0234,0.0017,0.0004
available,018. 1701-1800 impressions,167,1,0.8024,0.3473,0.0244,0.0016,0.0004
available,019. 1801-1900 impressions,144,1,0.7986,0.2639,0.0255,0.0016,0.0003
available,020. 1901-2000 impressions,140,1,0.8286,0.3429,0.0226,0.0017,0.0005
available,021. 2001-2100 impressions,94,1,0.8617,0.3298,0.0198,0.0015,0.0003
available,022. 2101-2200 impressions,86,1,0.8488,0.2791,0.0221,0.0016,0.0002
available,023. 2201-2300 impressions,72,1,0.7917,0.2917,0.0193,0.0013,0.0002
available,024. 2301-2400 impressions,81,1,0.7654,0.4074,0.0226,0.0014,0.0003
available,025. 2401-2500 impressions,68,1,0.8971,0.3676,0.0184,0.0011,0.0002
available,026. 2501-2600 impressions,49,1,0.8776,0.4082,0.0201,0.0014,0.0004
available,027. 2601-2700 impressions,47,1,0.8085,0.4468,0.0181,0.0011,0.0004
available,028. 2701-2800 impressions,58,1,0.8276,0.4483,0.0185,0.0013,0.0003
available,029. 2801-2900 impressions,34,1,0.8824,0.3529,0.0168,0.0014,0.0002
available,030. 2901-3000 impressions,32,1,0.875,0.3438,0.0207,0.0011,0.0001
available,031. 3001-3100 impressions,34,1,0.8529,0.4412,0.0254,0.0015,0.0008
available,032. 3101-3200 impressions,24,1,0.9583,0.4583,0.0212,0.0017,0.0005
available,033. 3201-3300 impressions,16,1,0.75,0.4375,0.0185,0.0013,0.0003
available,034. 3301-3400 impressions,14,1,0.6429,0.5,0.0167,0.0009,0.0002
available,035. 3401-3500 impressions,17,1,0.9412,0.2941,0.0201,0.001,0.0004
available,036. 3501-3600 impressions,11,1,0.7273,0.4545,0.0287,0.0013,0.0008
available,037. 3601-3700 impressions,19,1,1,0.5789,0.0211,0.0012,0.0003
available,038. 3701-3800 impressions,18,1,1,0.4444,0.0164,0.0014,0.0003
available,039. 3801-3900 impressions,15,1,1,0.8,0.0238,0.0014,0.0005
available,040. 3901-4000 impressions,11,1,1,0.4545,0.0157,0.0012,0.0003
available,041. 4001-4100 impressions,9,1,1,0.8889,0.0243,0.0017,0.0009
available,042. 4101-4200 impressions,10,1,1,0.4,0.0182,0.0011,0.0004
available,043. 4201-4300 impressions,9,1,1,0.4444,0.021,0.0017,0.0003
available,044. 4301-4400 impressions,6,1,1,0.8333,0.0222,0.0013,0.0005
available,045. 4401-4500 impressions,7,1,0.8571,0.5714,0.0268,0.0019,0.0006
available,046. 4501-4600 impressions,13,1,1,0.5385,0.0201,0.0008,0.0003
available,047. 4601-4700 impressions,6,1,0.6667,0.5,0.018,0.0007,0.0003
available,048. 4701-4800 impressions,4,1,1,0.75,0.0205,0.001,0.0004
available,049. 4801-4900 impressions,6,1,1,0.8333,0.0225,0.0014,0.0005
available,050. 4901-5000 impressions,4,1,0.75,0.25,0.0207,0.001,0.0001
available,051. 5001-5100 impressions,3,1,1,1,0.0322,0.0024,0.0013
available,052. 5101-5200 impressions,4,1,1,0.75,0.0201,0.0017,0.0004
available,053. 5201-5300 impressions,4,1,1,0.5,0.0181,0.001,0.0003
available,054. 5301-5400 impressions,2,1,1,1,0.0163,0.0012,0.0002
available,057. 5601-5700 impressions,2,1,1,0.5,0.018,0.0021,0.0003
available,058. 5701-5800 impressions,2,1,1,0.5,0.0112,0.001,0.0001
available,060. 5901-6000 impressions,2,1,1,0.5,0.0241,0.0006,0.0004
available,061. 6001-6100 impressions,2,1,1,1,0.0238,0.0015,0.0002
available,064. 6301-6400 impressions,1,1,1,1,0.0105,0.0017,0.0002
available,065. 6401-6500 impressions,2,1,1,0.5,0.0119,0.0009,0.0004
available,067. 6601-6700 impressions,1,1,0,1,0.0087,0,0.0002
available,068. 6701-6800 impressions,3,1,1,1,0.0197,0.001,0.0002
available,070. 6901-7000 impressions,2,1,1,1,0.0179,0.0011,0.0002
available,075. 7401-7500 impressions,1,1,1,1,0.0257,0.0019,0.0003
available,076. 7501-7600 impressions,1,1,1,1,0.023,0.0004,0.0001
available,077. 7601-7700 impressions,1,1,1,1,0.0209,0.0012,0.0009
available,080. 7901-8000 impressions,1,1,1,1,0.0452,0.0026,0.0008
available,095. 9401-9500 impressions,1,1,1,1,0.0341,0.0014,0.0002
available,101. 10001+ impressions,5,1,1,1,0.0244,0.0013,0.0005
sold,001. 1-100 impressions,3769,0.9891,0.5349,0.9838,0.2587,0.0219,0.0542
sold,002. 101-200 impressions,2112,0.9957,0.6776,0.9891,0.105,0.0083,0.0129
sold,003. 201-300 impressions,1075,1,0.7526,0.9898,0.079,0.0064,0.0078
sold,004. 301-400 impressions,609,1,0.7964,0.9852,0.0694,0.005,0.0058
sold,005. 401-500 impressions,401,1,0.8728,0.9925,0.0819,0.0053,0.0059
sold,006. 501-600 impressions,280,1,0.9179,0.9821,0.0553,0.0046,0.0039
sold,007. 601-700 impressions,189,0.9947,0.8677,0.9894,0.05,0.0039,0.0032
sold,008. 701-800 impressions,124,1,0.9032,0.9839,0.0486,0.0039,0.0029
sold,009. 801-900 impressions,102,1,0.9412,1,0.0553,0.0037,0.0027
sold,010. 901-1000 impressions,78,1,0.9231,0.9872,0.0447,0.0034,0.0025
sold,011. 1001-1100 impressions,48,1,0.9375,0.9792,0.0451,0.0039,0.0024
sold,012. 1101-1200 impressions,46,1,0.913,0.9565,0.0424,0.0026,0.0024
sold,013. 1201-1300 impressions,35,1,1,1,0.0431,0.0033,0.0022
sold,014. 1301-1400 impressions,34,1,0.9706,1,0.0409,0.0025,0.0018
sold,015. 1401-1500 impressions,23,1,0.9565,1,0.0481,0.0032,0.0018
sold,016. 1501-1600 impressions,13,1,1,1,0.0416,0.0035,0.002
sold,017. 1601-1700 impressions,13,1,0.9231,0.9231,0.0371,0.0023,0.0022
sold,018. 1701-1800 impressions,10,1,1,1,0.0269,0.0019,0.0018
sold,019. 1801-1900 impressions,10,1,1,1,0.0248,0.0021,0.0009
sold,020. 1901-2000 impressions,7,1,0.8571,1,0.0376,0.0026,0.0015
sold,021. 2001-2100 impressions,6,1,0.8333,1,0.0222,0.0015,0.0012
sold,022. 2101-2200 impressions,10,1,1,1,0.0285,0.0026,0.001
sold,023. 2201-2300 impressions,9,1,0.8889,1,0.0318,0.0019,0.0011
sold,024. 2301-2400 impressions,10,1,0.9,0.9,0.0296,0.0017,0.0021
sold,025. 2401-2500 impressions,5,1,1,1,0.0214,0.0024,0.0015
sold,026. 2501-2600 impressions,4,1,1,1,0.0244,0.0014,0.0013
sold,027. 2601-2700 impressions,3,1,1,1,0.0492,0.0025,0.0013
sold,028. 2701-2800 impressions,6,1,1,0.8333,0.0319,0.0024,0.0009
sold,029. 2801-2900 impressions,7,1,1,1,0.0421,0.0027,0.0015
sold,030. 2901-3000 impressions,2,1,1,1,0.0337,0.0018,0.0008
sold,031. 3001-3100 impressions,3,1,1,1,0.0457,0.0018,0.0012
sold,033. 3201-3300 impressions,3,1,1,1,0.028,0.0022,0.0014
sold,034. 3301-3400 impressions,1,1,1,1,0.03,0.0009,0.0015
sold,035. 3401-3500 impressions,1,1,1,1,0.0851,0.0038,0.0026
sold,036. 3501-3600 impressions,5,1,1,1,0.0228,0.0015,0.0004
sold,039. 3801-3900 impressions,2,1,1,1,0.0187,0.0013,0.0005
sold,040. 3901-4000 impressions,2,1,0.5,1,0.0156,0.0005,0.0013
sold,042. 4101-4200 impressions,1,1,1,1,0.0355,0.0036,0.0007
sold,043. 4201-4300 impressions,1,1,1,1,0.0328,0.0019,0.0005
sold,044. 4301-4400 impressions,2,1,1,1,0.0291,0.0019,0.0009
sold,047. 4601-4700 impressions,3,1,1,1,0.0178,0.0015,0.0005
sold,051. 5001-5100 impressions,1,1,1,1,0.0309,0.001,0.001
sold,056. 5501-5600 impressions,1,1,1,1,0.0081,0.0005,0.0002
sold,073. 7201-7300 impressions,1,1,1,1,0.0195,0.0018,0.0007
sold,101. 10001+ impressions,2,1,1,1,0.0342,0.0022,0.0007
