artist_id,artist_name,nb_artworks_Q1,nb_artworks_Q2,nb_artworks_Q3,nb_artworks_Q4,nb_artworks_Q5,views_Q1,views_Q2,views_Q3,views_Q4,views_Q5,median_views_Q1,median_views_Q2,median_views_Q3,median_views_Q4,median_views_Q5
70225, BA-G.,24,38,36,6,0,203,319,239,32,0,7,5,6,6,
36529, KAWS,92,105,146,342,109,926,1408,2537,4487,2335,4,4,4,3,3
76575,A.V.P.9,27,13,2,0,0,1495,884,43,0,0,36,44,15,,
58857,AGE _,11,3,0,0,0,30,13,0,0,0,2,5,,,
37244,AKIRA MMXX,0,1,8,13,12,0,12,144,204,196,,12,13,13,13
69065,ALFONSO CESARO,4,3,4,3,0,100,80,108,72,0,24,24,22,24,
34324,ALTO,7,7,7,0,0,333,352,335,0,0,45,47,48,,
69191,ANDSAL,3,8,1,1,0,95,189,33,25,0,23,22,33,25,
14805,ARANTXA CAMPOS,3,9,9,13,0,58,157,147,232,0,23,18,11,14,
1947,Aase Lind,6,8,5,1,0,44,35,16,1,0,6,3,4,1,
2917,Aasiri Wickremage,23,47,10,0,0,47,134,33,0,0,1,2,2,,
1024,Abel Amalric,6,1,3,0,0,255,31,108,0,0,38,31,37,,
70559,Abricodéal ÃŽles,3,10,0,0,0,9,39,0,0,0,3,3,,,
25003,Achezegag,32,7,1,0,0,574,137,7,0,0,10,23,7,,
1302,Acrymx,119,69,11,16,0,390,207,47,99,0,3,2,4,2,
17793,Ada Chini,31,16,10,0,0,1173,829,354,0,0,26,58,42,,
78483,Adam Cieslik,1,1,0,0,0,38,31,0,0,0,38,31,,,
71253,Adil Ghani,4,0,1,2,0,43,0,16,26,0,7,,16,8,
79819,Adrian Gonzalez torres,1,0,0,0,0,25,0,0,0,0,25,,,,
67297,Adrian Müller,1,0,0,5,0,28,0,0,142,0,28,,,27,
54705,Adriana Bernet,0,0,0,6,56,0,0,0,249,1902,,,,37,32
68611,Adriane Dworzak,1,1,3,2,1,56,42,113,19,57,56,42,34,9,57
77481,Adriano Scarano,0,0,0,1,0,0,0,0,17,0,,,,17,
