segment,artist_name,total_bv,avg_wishlist_per_view_sold,avg_wishlist_per_view_available,avg_clicks_per_view_sold,avg_clicks_per_view_available,avg_add_to_cart_per_view_sold,avg_add_to_cart_per_view_available
1. Top 25%,Pablo Picasso,172807.28,0.0058,0.0009,0.1664,0.0329,0.0116,0.0007
1. Top 25%,Salvador Dalí,166143.0852,0.0144,0.0014,0.2577,0.0639,0.0252,0.0009
1. Top 25%,Damien Hirst,160626.4716,0.0207,0.0011,0.6638,0.0388,0.0333,0.0003
1. Top 25%,Banksy,125847.5797,0.0042,0.002,0.154,0.033,0.0087,0.0005
1. Top 25%,Mr. Brainwash,101020.0184,0.009,0.0038,0.1416,0.0283,0.0182,0.0003
1. Top 25%,Keith Haring,68546.19646,0.0062,0.0007,0.2135,0.0357,0.0223,0.0003
1. Top 25%,Maria Moretti,65689.24543,0.0069,0.0037,0.2379,0.0468,0.0091,0.0012
1. Top 25%,Inez Froehlich,64027.89676,0.0078,0.0018,0.0807,0.0261,0.0078,0.0005
1. Top 25%,Angie Wright,61382.12381,0.0055,0.0021,0.0617,0.0395,0.0037,0.0005
1. Top 25%,Andrea Pallang,59861.0244,0.0149,0.0075,0.2694,0.0258,0.0166,0.001
1. Top 25%,Mitro,56000,,0.0077,,0.4546,,0.0037
1. Top 25%,Holger Mühlbauer-Gardemin,52138.78492,0.0121,0.0021,0.3167,0.03,0.0179,0.0013
1. Top 25%,Ta Byrne,50523.03523,0.0066,0.0013,0.1601,0.0315,0.0083,0.0004
1. Top 25%,Andy Warhol,49654.03553,0.0077,0.0007,0.1803,0.0359,0.0168,0.0008
1. Top 25%,Gabriela Azar Schreiner,48205.09782,0.0058,0.0037,0.0968,0.0321,0.0122,0.001
1. Top 25%,Nikolaos Schizas,45035.44324,0.0051,0.0066,0.146,0.0368,0.0095,0.001
1. Top 25%,Natalia Nosek (NATXA),44407.20874,0.0084,0.0014,0.1487,0.0342,0.0111,0.0006
1. Top 25%,Reneta Isin,43158,0.0157,0.0005,0.1417,0.018,0.0315,0.0002
1. Top 25%,Ilja Freer,43127.99861,0.0063,0.0068,0.0851,0.0369,0.0056,0.002
1. Top 25%,Yayoi Kusama,43047.02183,0.0066,0.0006,0.1524,0.047,0.0197,0.0004
1. Top 25%,Giovanni Sanesi,42536.30973,0.0108,0.0036,0.1299,0.0506,0.0066,0.0005
1. Top 25%,Wojtek Babski,41051.00983,0.0085,0.0008,0.3282,0.028,0.0232,0.0004
1. Top 25%,Sniege,39874.32542,0.0113,0.0038,0.1065,0.0547,0.0126,0.001
1. Top 25%,Julian Opie,36389.0208,,0.0007,,0.0156,,0.0001
1. Top 25%,Patrick Hughes,35067.43232,,0.0036,,0.0991,,0.0061
1. Top 25%,Peter Nottrott,34986.3409,0.0043,0.0019,0.3322,0.0332,0.0204,0.0006
1. Top 25%,Niki Hare,34975.79375,0.0106,0.0035,0.2325,0.0297,0.0132,0.0004
1. Top 25%,NATHZ,34882.47722,0.0172,0.008,0.247,0.0869,0.006,0.002
1. Top 25%,Dmitry Spiros,34856.01069,0.0046,0.0017,0.0844,0.0271,0.0054,0.0007
1. Top 25%,Jean-Marie Gitard,34221.64625,0.0066,0.0044,0.1448,0.0466,0.0083,0.0013
1. Top 25%,Dilorom Mamedova,34136.66256,0,0.0012,1.04,0.0673,0.08,0.0014
1. Top 25%,James Green,32494.18721,,0.0006,,0.0392,,0.0013
1. Top 25%,Eva Volf,32232.30483,0.0029,0.0014,0.1026,0.0412,0.0037,0.0008
1. Top 25%,Brigitte Dravet,32174.88879,0.0066,0.0028,0.1569,0.0505,0.0111,0.0011
1. Top 25%,Esteban Vera,31723.22425,0.0252,0.0027,0.2032,0.0126,0.0641,0.0003
1. Top 25%,Tatiana Malinovscaia,31542.83084,0.0135,0.0055,0.1956,0.0594,0.0129,0.0011
1. Top 25%,Malgorzata Krakowiak,31331.40119,0.0067,0.0022,0.2268,0.0574,0.0377,0.0004
1. Top 25%,Katherine Evans,30821.53328,0.0221,0.0014,0.3162,0.0302,0.0147,0.0001
1. Top 25%,Erika Seywald,30000.01,,0.0016,,0.0217,,0.0012
1. Top 25%,Helen Frankenthaler,29060,0.0144,0,1.1524,0.0335,0.0304,0
1. Top 25%,Yari Ostovany,28835.364,0.0059,0.0013,0.1899,0.0182,0.0103,0.0001
1. Top 25%,Ernestine Tahedl,28695.49185,0.0102,0.0012,0.212,0.0339,0.0219,0.001
1. Top 25%,Diana Malivani,28101.73724,0.0156,0.0027,0.2707,0.0294,0.0296,0.0004
1. Top 25%,Bernard Simunovic,28023.89141,0.0355,0.0019,0.429,0.0341,0.051,0.0003
1. Top 25%,Kristen Olson Stone,27163.78648,0.0202,0.0038,0.3884,0.0494,0.0124,0.0004
1. Top 25%,Petro Hrytsiuk,27098.53714,0.004,0.0033,0.089,0.024,0.0108,0.0004
1. Top 25%,Joan Miró,27037.14457,0.0083,0.0008,0.2688,0.0352,0.0192,0.0011
1. Top 25%,Olivier Messas,26927.28126,0.0068,0.0024,0.1263,0.0324,0.0091,0.0002
1. Top 25%,Manfred Hellweger,26909.50211,0.0088,0.0033,0.1381,0.0366,0.0179,0.0003
1. Top 25%,Tadaomi Kawasaki,26684.7988,0.0036,0.0009,0.087,0.011,0.0106,0.0001
1. Top 25%,Khodakivskyi Vasyl,26599.38745,0.0085,0.0013,0.1704,0.0449,0.0213,0.0005
1. Top 25%,Ewa Czarniecka,26437.96187,0.0053,0.0015,0.1127,0.0344,0.0094,0.0005
1. Top 25%,Andrea Jacobi,26208.11711,0.0059,0.0053,0.073,0.0586,0.0059,0.0007
