metric_type,days_bucket,lifecycle_bucket,nb_events,total_sold_artworks,events_per_artwork
add_to_cart,3. Days 15-30,01. 0-10%,3,8764,0.0003
add_to_cart,4. Days 31-60,01. 0-10%,1,8764,0.0001
add_to_cart,2. Days 08-14,01. 0-10%,19,8764,0.0022
add_to_cart,1. Days 01-07,01. 0-10%,203,8764,0.0232
add_to_cart,3. Days 15-30,02. 10-20%,35,8764,0.004
add_to_cart,2. Days 08-14,02. 10-20%,25,8764,0.0029
add_to_cart,5. Days 61-90,02. 10-20%,1,8764,0.0001
add_to_cart,1. Days 01-07,02. 10-20%,56,8764,0.0064
add_to_cart,4. Days 31-60,02. 10-20%,12,8764,0.0014
add_to_cart,1. Days 01-07,03. 20-30%,59,8764,0.0067
add_to_cart,5. Days 61-90,03. 20-30%,44,8764,0.005
add_to_cart,3. Days 15-30,03. 20-30%,23,8764,0.0026
add_to_cart,4. Days 31-60,03. 20-30%,39,8764,0.0045
add_to_cart,2. Days 08-14,03. 20-30%,23,8764,0.0026
add_to_cart,6. Days 91+,03. 20-30%,8,8764,0.0009
add_to_cart,2. Days 08-14,04. 30-40%,19,8764,0.0022
add_to_cart,4. Days 31-60,04. 30-40%,33,8764,0.0038
add_to_cart,6. Days 91+,04. 30-40%,39,8764,0.0045
add_to_cart,1. Days 01-07,04. 30-40%,36,8764,0.0041
add_to_cart,5. Days 61-90,04. 30-40%,26,8764,0.003
add_to_cart,3. Days 15-30,04. 30-40%,23,8764,0.0026
add_to_cart,6. Days 91+,05. 40-50%,77,8764,0.0088
add_to_cart,4. Days 31-60,05. 40-50%,53,8764,0.006
add_to_cart,2. Days 08-14,05. 40-50%,14,8764,0.0016
add_to_cart,1. Days 01-07,05. 40-50%,36,8764,0.0041
add_to_cart,5. Days 61-90,05. 40-50%,32,8764,0.0037
add_to_cart,3. Days 15-30,05. 40-50%,25,8764,0.0029
add_to_cart,2. Days 08-14,06. 50-60%,37,8764,0.0042
add_to_cart,3. Days 15-30,06. 50-60%,27,8764,0.0031
add_to_cart,5. Days 61-90,06. 50-60%,40,8764,0.0046
add_to_cart,4. Days 31-60,06. 50-60%,93,8764,0.0106
add_to_cart,6. Days 91+,06. 50-60%,123,8764,0.014
add_to_cart,1. Days 01-07,06. 50-60%,99,8764,0.0113
add_to_cart,4. Days 31-60,07. 60-70%,65,8764,0.0074
add_to_cart,2. Days 08-14,07. 60-70%,62,8764,0.0071
add_to_cart,1. Days 01-07,07. 60-70%,80,8764,0.0091
add_to_cart,3. Days 15-30,07. 60-70%,41,8764,0.0047
add_to_cart,6. Days 91+,07. 60-70%,263,8764,0.03
add_to_cart,5. Days 61-90,07. 60-70%,47,8764,0.0054
add_to_cart,3. Days 15-30,08. 70-80%,61,8764,0.007
add_to_cart,4. Days 31-60,08. 70-80%,65,8764,0.0074
add_to_cart,5. Days 61-90,08. 70-80%,53,8764,0.006
add_to_cart,1. Days 01-07,08. 70-80%,61,8764,0.007
add_to_cart,2. Days 08-14,08. 70-80%,22,8764,0.0025
add_to_cart,6. Days 91+,08. 70-80%,392,8764,0.0447
add_to_cart,6. Days 91+,09. 80-90%,836,8764,0.0954
add_to_cart,1. Days 01-07,09. 80-90%,70,8764,0.008
add_to_cart,3. Days 15-30,09. 80-90%,141,8764,0.0161
add_to_cart,4. Days 31-60,09. 80-90%,122,8764,0.0139
add_to_cart,2. Days 08-14,09. 80-90%,43,8764,0.0049
add_to_cart,5. Days 61-90,09. 80-90%,54,8764,0.0062
add_to_cart,4. Days 31-60,10. 90-100%,365,8764,0.0416
add_to_cart,5. Days 61-90,10. 90-100%,406,8764,0.0463
add_to_cart,2. Days 08-14,10. 90-100%,59,8764,0.0067
add_to_cart,3. Days 15-30,10. 90-100%,220,8764,0.0251
add_to_cart,6. Days 91+,10. 90-100%,7722,8764,0.8811
click,2. Days 08-14,01. 0-10%,440,8764,0.0502
click,1. Days 01-07,01. 0-10%,6848,8764,0.7814
click,3. Days 15-30,01. 0-10%,252,8764,0.0288
click,4. Days 31-60,01. 0-10%,9,8764,0.001
click,1. Days 01-07,02. 10-20%,1470,8764,0.1677
click,4. Days 31-60,02. 10-20%,469,8764,0.0535
click,3. Days 15-30,02. 10-20%,723,8764,0.0825
click,2. Days 08-14,02. 10-20%,459,8764,0.0524
click,5. Days 61-90,02. 10-20%,61,8764,0.007
click,3. Days 15-30,03. 20-30%,494,8764,0.0564
click,5. Days 61-90,03. 20-30%,859,8764,0.098
click,2. Days 08-14,03. 20-30%,250,8764,0.0285
click,1. Days 01-07,03. 20-30%,934,8764,0.1066
click,6. Days 91+,03. 20-30%,118,8764,0.0135
click,4. Days 31-60,03. 20-30%,685,8764,0.0782
click,2. Days 08-14,04. 30-40%,331,8764,0.0378
click,1. Days 01-07,04. 30-40%,431,8764,0.0492
click,4. Days 31-60,04. 30-40%,577,8764,0.0658
click,3. Days 15-30,04. 30-40%,433,8764,0.0494
click,6. Days 91+,04. 30-40%,709,8764,0.0809
click,5. Days 61-90,04. 30-40%,605,8764,0.069
click,1. Days 01-07,05. 40-50%,393,8764,0.0448
click,2. Days 08-14,05. 40-50%,221,8764,0.0252
click,5. Days 61-90,05. 40-50%,673,8764,0.0768
click,3. Days 15-30,05. 40-50%,380,8764,0.0434
click,4. Days 31-60,05. 40-50%,441,8764,0.0503
click,6. Days 91+,05. 40-50%,1528,8764,0.1743
click,6. Days 91+,06. 50-60%,2949,8764,0.3365
click,5. Days 61-90,06. 50-60%,466,8764,0.0532
click,1. Days 01-07,06. 50-60%,1044,8764,0.1191
click,2. Days 08-14,06. 50-60%,174,8764,0.0199
click,4. Days 31-60,06. 50-60%,477,8764,0.0544
click,3. Days 15-30,06. 50-60%,400,8764,0.0456
click,2. Days 08-14,07. 60-70%,183,8764,0.0209
click,5. Days 61-90,07. 60-70%,379,8764,0.0432
click,6. Days 91+,07. 60-70%,3713,8764,0.4237
click,4. Days 31-60,07. 60-70%,577,8764,0.0658
click,3. Days 15-30,07. 60-70%,371,8764,0.0423
click,1. Days 01-07,07. 60-70%,770,8764,0.0879
click,4. Days 31-60,08. 70-80%,580,8764,0.0662
click,1. Days 01-07,08. 70-80%,365,8764,0.0416
click,6. Days 91+,08. 70-80%,5473,8764,0.6245
click,2. Days 08-14,08. 70-80%,162,8764,0.0185
click,5. Days 61-90,08. 70-80%,415,8764,0.0474
click,3. Days 15-30,08. 70-80%,545,8764,0.0622
click,4. Days 31-60,09. 80-90%,797,8764,0.0909
