artist_id,artist_name,artwork_id,title,status,nb_impressions,nb_add_to_cart,nb_wishlist,nb_clicks,add_to_cart_per_impression,wishlist_per_impression,click_per_impression
36515,Mr. Brainwash,1978785,Life is Beautiful multicolor,available,4886,0,0,50,0,0,0.0102
36504,Salvador Dalí,2058965,Tienta en Espana,available,3845,4,3,117,0.001,0.0008,0.0304
36512,Andy Warhol,1981996,FLOWERS,available,3824,0,1,71,0,0.0003,0.0186
36518,Keith Haring,1984277,Sans titre,available,3259,0,7,161,0,0.0021,0.0494
36504,Salvador Dalí,2058928,Flordali I,available,3153,0,6,142,0,0.0019,0.045
36518,Keith Haring,2005639,Multiple People,sold_old,2997,7,8,197,0.0023,0.0027,0.0657
36512,Andy Warhol,1982778,Marilyn Monroe #2,sold_old,2987,2,5,108,0.0007,0.0017,0.0362
36518,Keith Haring,1937694,On Giro on Taro,available,2889,0,4,75,0,0.0014,0.026
36515,Mr. Brainwash,1942824,Live Life and Prosper,available,2825,3,4,57,0.0011,0.0014,0.0202
36501,Pablo Picasso,2127940,La flûtiste,available,2753,5,8,179,0.0018,0.0029,0.065
36512,Andy Warhol,2093859,l’iconique Banane de Warhol,available,2642,5,5,89,0.0019,0.0019,0.0337
36504,Salvador Dalí,2059564,Flordali I,available,2622,1,3,106,0.0004,0.0011,0.0404
36514,Banksy,2238094,Monkey Parliament (Poster),available,2618,2,2,169,0.0008,0.0008,0.0646
36514,Banksy,2018302,Choose Your Weapon (Gold) VIP,available,2596,0,1,107,0,0.0004,0.0412
36515,Mr. Brainwash,1978791,Art Is Not A Crime,available,2505,0,3,35,0,0.0012,0.014
36527,Yayoi Kusama,2096657,"Assiette : Des hordes de femmes attendent l'amour, mais les hommes partent toujours",available,2417,2,2,58,0.0008,0.0008,0.024
36514,Banksy,2325065,Tesco Soup Can,available,2395,3,7,127,0.0013,0.0029,0.053
36515,Mr. Brainwash,1978783,Life is Beautiful splash red,available,2370,0,0,13,0,0,0.0055
36514,Banksy,2018296,Choose Your Weapon (Dark Purple),available,2298,0,0,54,0,0,0.0235
36514,Banksy,2018300,Choose Your Weapon (Dark Blue),available,2276,0,2,77,0,0.0009,0.0338
36531,Damien Hirst,1979126,"Mill bay, Salcombe",available,2245,2,1,45,0.0009,0.0004,0.02
36518,Keith Haring,2001648,Best Buddies Portfolio Coversheet,available,2240,0,0,55,0,0,0.0246
36501,Pablo Picasso,1983323,Sans titre,sold_l6m,2228,6,12,290,0.0027,0.0054,0.1302
36531,Damien Hirst,1933488,The Currency : Assiette en porcelaine fine de Chine,sold_old,2218,2,3,73,0.0009,0.0014,0.0329
36501,Pablo Picasso,2001577,"Tete de Femme, 28-10",available,2198,5,9,243,0.0023,0.0041,0.1106
36515,Mr. Brainwash,1931298,Plawing cowboy,available,2140,1,4,49,0.0005,0.0019,0.0229
