status,metric_type,day_threshold,nb_artworks,avg_events_per_artwork,median_events_per_artwork,pct_with_any_event
available,add_to_cart,1. Day 07,279711,0.0029,0,0.0021
available,add_to_cart,2. Day 14,279711,0.0038,0,0.0026
available,add_to_cart,3. Day 30,279711,0.0053,0,0.0036
available,add_to_cart,4. Day 60,279711,0.0073,0,0.0049
available,add_to_cart,5. Day 90,279711,0.0094,0,0.006
sold,add_to_cart,1. Day 07,6507,0.0063,0,0.0034
sold,add_to_cart,2. Day 14,6507,0.0094,0,0.006
sold,add_to_cart,3. Day 30,6507,0.0189,0,0.0095
sold,add_to_cart,4. Day 60,6507,0.0541,0,0.0194
sold,add_to_cart,5. Day 90,6507,0.1621,0,0.035
available,click,1. Day 07,279711,0.3677,0,0.1379
available,click,2. Day 14,279711,0.4232,0,0.1518
available,click,3. Day 30,279711,0.5118,0,0.1729
available,click,4. Day 60,279711,0.6416,0,0.2013
available,click,5. Day 90,279711,0.7516,0,0.2235
sold,click,1. Day 07,6507,0.4192,0,0.0899
sold,click,2. Day 14,6507,0.5022,0,0.0991
sold,click,3. Day 30,6507,0.779,0,0.1219
sold,click,4. Day 60,6507,1.1654,0,0.1538
sold,click,5. Day 90,6507,2.5545,0,0.189
available,view,1. Day 07,279711,8.7544,0,0.4618
available,view,2. Day 14,279711,11.0573,0,0.4844
available,view,3. Day 30,279711,14.8704,1,0.5163
available,view,4. Day 60,279711,20.5168,3,0.5574
available,view,5. Day 90,279711,25.4188,5,0.5915
sold,view,1. Day 07,6507,4.1123,0,0.1671
sold,view,2. Day 14,6507,5.9491,0,0.1769
sold,view,3. Day 30,6507,10.6541,0,0.2006
sold,view,4. Day 60,6507,19.0645,0,0.2431
sold,view,5. Day 90,6507,31.5505,0,0.28
available,wishlist,1. Day 07,279711,0.0251,0,0.0228
available,wishlist,2. Day 14,279711,0.03,0,0.0268
available,wishlist,3. Day 30,279711,0.0388,0,0.0339
available,wishlist,4. Day 60,279711,0.051,0,0.0434
available,wishlist,5. Day 90,279711,0.0617,0,0.0511
sold,wishlist,1. Day 07,6507,0.0255,0,0.0209
sold,wishlist,2. Day 14,6507,0.0329,0,0.0266
sold,wishlist,3. Day 30,6507,0.0484,0,0.0373
sold,wishlist,4. Day 60,6507,0.0904,0,0.0566
sold,wishlist,5. Day 90,6507,0.17,0,0.0795
