artist_name,available_artwork_id,sum_similarities,nb_of_similarities,max_similarity,nb_cluster_1,nb_cluster_2,nb_cluster_3,nb_cluster_4,nb_cluster_5
Adam Faglio,1449021,245.61781400000004,390,0.685596,0,0,88,302,0
Timon Stork,2018743,182.30372400000002,326,0.666215,0,23,178,125,0
Hortense BATAILLE,2418425,76.604342999999972,252,0.349343,7,245,0,0,0
Stanislav Sidorov,79029,251.6094749999998,362,0.819725,0,12,54,235,61
Felix Günther,2301187,129.05274699999995,263,0.537826,0,8,255,0,0
Stephen Remick,231679,202.82298400000002,315,0.70319,0,0,61,254,0
Mai Xuan Phuc,2345059,175.784986,231,0.819967,0,0,8,159,64
Fabio Guzzano,2610256,91.938928000000075,246,0.43478,0,167,79,0,0
Katrina Avotina,1612526,191.04322599999992,346,0.594609,0,0,346,0,0
Mila Veljac'a,1915434,94.82566700000001,257,0.405845,0,218,39,0,0
lee yong wook,2287500,219.14722700000002,318,0.769885,0,5,32,281,0
Monika Mrowiec,1635448,92.614650000000054,174,0.594382,0,4,170,0,0
Liza Illichmann,2268582,162.70861299999999,284,0.648597,1,9,137,137,0
jean-luc bohin,1924261,167.91108000000006,212,0.835956,0,0,2,90,120
Uwe Stark,2553329,93.166347999999985,234,0.438471,0,106,128,0,0
Felix Günther,2415216,168.38090400000013,302,0.606606,0,2,260,40,0
Tatiana Iliina,1385091,90.526462999999993,321,0.333813,11,310,0,0,0
Ulla Kutter,2368143,204.59832900000006,387,0.681743,12,71,127,177,0
Friedrich Wurm,700619,200.89532099999988,305,0.71818,2,11,23,269,0
Einat Lev Ari,1926925,197.72018000000003,250,0.837229,0,0,3,112,135
Manuel Di Chiara,1027267,265.53454000000011,312,0.895312,0,1,4,34,273
Nadezda Stupina,2187965,190.44318000000007,369,0.608533,0,40,306,23,0
Tomáš Holub,2387035,100.00112899999992,270,0.406327,0,236,34,0,0
J-Claude Bernard,223927,106.21248200000001,231,0.491796,0,11,220,0,0
Jean-Paul Schmitt,500679,128.173208,202,0.688704,0,0,39,163,0
Julie Hammonds,2423675,206.19211000000007,375,0.690867,0,66,124,185,0
Vasili Zianko,2241427,150.39276699999994,237,0.665584,0,0,32,205,0
Alexander Klemens,1488627,214.68082100000012,306,0.740603,0,0,11,295,0
Tom Blood,2372925,186.53310199999996,245,0.792833,0,0,2,243,0
Vita Schagen,1586847,50.138778999999985,252,0.244995,110,142,0,0,0
Marek Boguszak,2355439,129.328237,209,0.664885,0,0,53,156,0
Maria Galan,2065522,227.00985899999989,343,0.768329,0,16,59,268,0
Biagio Antonio Occhipinti,2074228,149.63291300000009,302,0.531902,0,2,300,0,0
Ronnie NEMORIN,507039,77.71690599999998,252,0.352156,2,250,0,0,0
Miguel Ángel García López,1567136,148.96474599999985,298,0.533658,0,7,291,0,0
Luís Bastos,2517987,90.858773999999983,194,0.518149,0,15,179,0,0
Mirek Kuzniar,1661358,203.95971500000005,300,0.730761,0,0,23,277,0
Michel Massi,2290190,275.014707,315,0.89498,0,0,0,3,312
