year_month,nb_impressions,nb_sales,first_click_template_artist_bv
2021-08-01,5130837,76,151353.5583
2021-09-01,9681514,79,118021.8366
2021-10-01,16920354,75,103711.9922
2021-11-01,12465928,121,157261.7877
2021-12-01,6510823,107,161194.5701
2022-01-01,8905204,123,146033.0588
2022-02-01,6909762,107,139329.486
2022-03-01,6323521,111,154462.1932
2022-04-01,5945253,94,112460.6489
2022-05-01,4290850,70,114295.9407
2022-06-01,2761948,63,119875.0878
2022-07-01,3005612,60,92944.17206
2022-08-01,3545603,84,116707.3138
2022-09-01,4032435,81,159348.7114
2022-10-01,5613471,82,155177.3661
2022-11-01,5489490,63,69958.86876
2022-12-01,4629825,89,130118.9211
2023-01-01,5314405,83,133764.7037
2023-02-01,5046353,60,83168.46687
2023-03-01,4888978,54,93005.29876
2023-04-01,4060480,69,108707.6633
2023-05-01,3278003,75,100763.5249
2023-06-01,2618574,45,67098.46812
2023-07-01,2997745,46,65375.66774
2023-08-01,3850105,40,60240.69348
2023-09-01,3918339,43,60685.90141
2023-10-01,3869393,67,107232.1671
2023-11-01,2989674,74,120622.9826
2023-12-01,2485007,61,96723.37537
2024-01-01,2458427,38,64499.43251
2024-02-01,2195228,43,65534.96378
2024-03-01,2542739,48,78986.49228
2024-04-01,2969302,46,73225.111
2024-05-01,1993057,50,54927.47571
2024-06-01,2092884,63,95672.65777
2024-07-01,2098088,43,63912.72936
2024-08-01,3009888,30,31049.15909
2024-09-01,4651523,32,31656.02116
2024-10-01,6289501,19,22007.68655
2024-11-01,8651093,67,102474.9314
2024-12-01,8766191,41,80658.45762
2025-01-01,9152466,32,46397.47251
2025-02-01,9029792,40,52145.33457
2025-03-01,9323572,38,45398.15859
2025-04-01,6342986,30,64084.05483
2025-05-01,6716678,51,78654.74199
2025-06-01,6040694,42,58663.62637
2025-07-01,6287834,35,44209.39678
2025-08-01,6961833,31,39654.56179
2025-09-01,7227383,35,33357.90805
2025-10-01,7581209,28,30415.05699
2025-11-01,9480572,77,106460.3699
2025-12-01,10594701,48,56679.79431
2026-01-01,11824383,47,45039.91033
2026-02-01,10676567,34,50145.89574
2026-03-01,8652969,46,83450.71959
2026-04-01,8124779,29,50441.11252
2026-05-01,7711119,42,63104.76113
2026-06-01,3732024,16,66782.50749
