artist_id,artist_name,artist_type,nb_sessions_artist_page,nb_sessions_artwork_page,nb_sessions_total,nb_entry_sessions_artist_campaign,nb_entry_sessions_artwork_campaign,nb_entry_sessions_total,artist_total_bv,artist_entry_bv_same_artist,artist_entry_bv_other_artist,artwork_entry_bv_same_artist,artwork_entry_bv_other_artist,1stClick BV,pull_ratio_artist,pull_ratio_artwork,pull_ratio,pct_first_click_bv_same_artist,1st_click_BV_per_First_click_session
259,Niki Hare,Singulart Artist,128816,397212,526028,23496,6937,30433,"1,119,926","94,587","10,570","14,805","3,953","123,915",18.24%,1.75%,5.79%,9.77%,€4.10
2493,Peter Nottrott,Singulart Artist,242922,742770,985692,36129,13532,49661,"1,074,560","65,668","6,685","3,983","3,269","79,605",14.87%,1.82%,5.04%,6.48%,€1.60
4545,Wojtek Babski,Singulart Artist,84966,341092,426058,14407,10581,24988,"959,635","56,435","2,178","17,337",0,"75,950",16.96%,3.10%,5.87%,7.69%,€3.00
2099,Ta Byrne,Singulart Artist,127274,401414,528688,18904,9305,28209,"924,692","48,417","13,031","11,680",0,"73,128",14.85%,2.32%,5.34%,6.50%,€2.60
11651,Angie Wright,Singulart Artist,92906,399723,492629,13933,7252,21185,"911,682","30,552","11,791","5,674",0,"48,018",15.00%,1.81%,4.30%,3.97%,€2.30
4475,Ashvin Harrison,Singulart Artist,120586,223935,344521,23381,5805,29186,"862,127","58,198","13,063","7,671",0,"78,933",19.39%,2.59%,8.47%,7.64%,€2.70
7037,Maria Moretti,Singulart Artist,93234,437692,530926,20209,10582,30791,"812,850","23,610","5,476","3,590",0,"32,676",21.68%,2.42%,5.80%,3.35%,€1.10
14061,Luc Villard,Singulart Artist,99143,530542,629685,18662,11686,30348,"792,514","46,438","15,506","7,246",0,"69,190",18.82%,2.20%,4.82%,6.77%,€2.30
63,Olivier Messas,Singulart Artist,"153,116","841,242","994,358","20,937","16,214","37,151","747,402","43,658","6,846","3,914",0,"54,418",13.67%,1.93%,3.74%,6.37%,€1.50
12155,Natalia Nosek (NATXA),Singulart Artist,92593,336535,429128,12298,5324,17622,"722,193","34,574","4,980","4,740","1,442","45,736",13.28%,1.58%,4.11%,5.44%,€2.60
1973,Kristin Kossi,Singulart Artist,187117,326356,513473,28399,14785,43184,"714,222","63,649","9,446","4,557",0,"77,652",15.18%,4.53%,8.41%,9.55%,€1.80
1514,Bernard Simunovic,Singulart Artist,69146,212374,281520,10103,5347,15450,"659,437","45,735","19,996","6,495",0,"72,225",14.61%,2.52%,5.49%,7.92%,€4.70
86,Vincent Bardou,Singulart Artist,99529,385935,485464,16861,28219,45080,"647,406","27,253","5,136","17,140","4,600","54,129",16.94%,7.31%,9.29%,6.86%,€1.20
7963,Inez Froehlich,Singulart Artist,58240,230736,288976,11739,4365,16104,593078.2875,47166.30028,1730,6025.1089,0,"54,921",20.16%,1.89%,5.57%,8.97%,€3.40
9315,Marie Manon Corbeil,Singulart Artist,66355,291536,357891,9828,5074,14902,573792.8479,26740.77522,6341.055319,5884.14017,0,"38,966",14.81%,1.74%,4.16%,5.69%,€2.60
1579,Alessandro Siviglia,Singulart Artist,91666,289932,381598,20477,7933,28410,518406.1331,29484.43368,4403.213595,7899.917421,0,"41,788",22.34%,2.74%,7.45%,7.21%,€1.50
1298,Fintan Whelan,Singulart Artist,72390,204753,277143,12090,3266,15356,500422.6831,16889.91592,1593.00729,11431.91421,2464.902,"32,380",16.70%,1.60%,5.54%,5.66%,€2.10
4477,Rie Kono,Singulart Artist,151749,231683,383432,20517,4192,24709,479853.8252,16015.09639,20349.94354,2766.65,0,"39,132",13.52%,1.81%,6.44%,3.91%,€1.60
15847,Elisa Boughner,Singulart Artist,64652,385153,449805,11755,8557,20312,474757.9767,10907.99313,5542.369712,990,0,"17,440",18.18%,2.22%,4.52%,2.51%,€0.90
3167,Sniege,Singulart Artist,48399,175654,224053,9719,3093,12812,452578.8287,51948.42092,2365.95,10991.48913,408,"65,714",20.08%,1.76%,5.72%,13.91%,€5.10
36501,Pablo Picasso,Grand Artist,220325,460030,680355,43057,25068,68125,"450,529","13,209","9,418","1,911",0,"24,538",19.54%,5.45%,10.01%,3.36%,€0.40
