artist_id,artist_name,artist_type,Artist Quadrant,years online,nb_sessions_artist_page,nb_sessions_artwork_page,nb_sessions_total,nb_entry_sessions_artist_campaign,nb_entry_sessions_artwork_campaign,nb_entry_sessions_total,artist_total_bv,artist_entry_bv_same_artist,artist_entry_bv_other_artist,artwork_entry_bv_same_artist,artwork_entry_bv_other_artist,1stClick BV,pull_ratio_artist,pull_ratio_artwork,pull_ratio,pct_first_click_bv_same_artist,1st_click_BV_per_First_click_session,Predictive formula,Delta
259,Niki Hare,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",8.8,"128,816","397,212","526,028","23,496","6,937","30,433","€1,119,926","€94,587","€10,570","€14,805","€3,953","€123,915",18.240%,1.746%,5.785%,9.768%,€4.1,"€2,586.6","-€121,327.9"
2493,Peter Nottrott,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",7.7,"242,922","742,770","985,692","36,129","13,532","49,661","€1,074,560","€65,668","€6,685","€3,983","€3,269","€79,605",14.873%,1.822%,5.038%,6.482%,€1.6,"€2,252.5","-€77,352.3"
4545,Wojtek Babski,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",7.3,"84,966","341,092","426,058","14,407","10,581","24,988","€959,635","€56,435","€2,178","€17,337",€0,"€75,950",16.956%,3.102%,5.865%,7.688%,€3.0,"€2,622.2","-€73,328.2"
2099,Ta Byrne,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",7.8,"127,274","401,414","528,688","18,904","9,305","28,209","€924,692","€48,417","€13,031","€11,680",€0,"€73,128",14.853%,2.318%,5.336%,6.499%,€2.6,"€2,385.5","-€70,742.8"
11651,Angie Wright,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",6.3,"92,906","399,723","492,629","13,933","7,252","21,185","€911,682","€30,552","€11,791","€5,674",€0,"€48,018",14.997%,1.814%,4.300%,3.974%,€2.3,"€1,922.7","-€46,095.0"
4475,Ashvin Harrison,Singulart Artist,"Supply-Driven (High Pull, High Entry BV)",3.9,"120,586","223,935","344,521","23,381","5,805","29,186","€862,127","€58,198","€13,063","€7,671",€0,"€78,933",19.39%,2.59%,8.47%,7.64%,€2.7,"€1,641.1","-€77,291.5"
7037,Maria Moretti,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",6.8,"93,234","437,692","530,926","20,209","10,582","30,791","€812,850","€23,610","€5,476","€3,590",€0,"€32,676",21.676%,2.418%,5.799%,3.346%,€1.1,"€2,592.9","-€30,082.7"
14061,Luc Villard,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",6.2,"99,143","530,542","629,685","18,662","11,686","30,348","€792,514","€46,438","€15,506","€7,246",€0,"€69,190",18.823%,2.203%,4.820%,6.774%,€2.3,"€2,154.8","-€67,035.2"
63,Olivier Messas,Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",8.8,"153,116","841,242","994,358","20,937","16,214","37,151","€747,402","€43,658","€6,846","€3,914",€0,"€54,418",13.674%,1.927%,3.736%,6.365%,€1.5,"€1,670.4","-€52,747.2"
12155,Natalia Nosek (NATXA),Singulart Artist,"BV but no pull (Low Pull, High Entry BV)",6.3,"92,593","336,535","429,128","12,298","5,324","17,622","€722,193","€34,574","€4,980","€4,740","€1,442","€45,736",13.282%,1.582%,4.106%,5.444%,€2.6,"€1,836.0","-€43,899.7"
