artist_id,artist_name,entry_sessions,entry_sessions_organic_direct,entry_BV
3841,Ruslan Khais,1410749,1403521,2059.05535
57043,Julian Adrat,277897,277843,0
10109,Larissa Abtova,264596,254481,0
36501,Pablo Picasso,252789,230837,18286.03066
36504,Salvador Dalí,242453,212619,7396.93187
3143,Pol Ledent,321787,206085,76780.55213
63,Olivier Messas,231172,186401,166653.8529
8221,Thomas Dellert,190740,184631,6191.763855
2759,Jean Mirre,164183,155518,7071.91646
6303,Françoise Leblond,313499,147521,4191.16387
34239,Art Taghera,148788,146018,0
2493,Peter Nottrott,176683,137590,146200.9171
2099,Ta Byrne,146459,118188,153562.06
36491,Marc Chagall,125060,115142,670
168,François Pagé,122455,114086,42912.68725
18369,Axelle Bosler,125525,113053,21682.79714
47380,Andrew Scott,109650,109370,3960
1579,Alessandro Siviglia,128651,102316,71040.54158
2627,Carlos Martin,138002,100841,40481.5333
3567,Eka Peradze,114295,95141,49495.11525
8217,Iryna Kastsova,103878,92153,103995.8132
22087,Dolgor Dugarova,106720,90978,0
14061,Luc Villard,109465,90010,108711.2282
7037,Maria Moretti,110027,89859,131181.1294
36722,Shepard Fairey,100277,89523,3969
707,Joan Llaverias,109772,88730,77201.22553
86,Vincent Bardou,112571,87918,112051.3563
36512,Andy Warhol,91345,87521,25299.89307
259,Niki Hare,141218,85916,307423.2232
3149,Eric Bruni,98531,83808,22521.85874
5113,Michael Andrew Law Cheuk Yui,92210,83681,33924.52043
4477,Rie Kono,97897,83401,57104.8495
13923,Philippe Abril,96042,83222,19397.8821
3605,Robert Süess,103645,80825,37496.95228
6865,Holger Mühlbauer-Gardemin,84995,80011,31385.4972
1973,Kristin Kossi,102422,79412,78364.09168
1919,Koen Lybaert,97771,79097,67769.14554
11651,Angie Wright,96082,77351,142112.1122
10927,Tony Belobrajdic,90387,77221,9304.733435
6223,Silvia Vassileva,106667,77098,8817.40435
57146,Ryohei Kubo,76753,76731,0
449,Kirstin Mccoy,82582,76404,2562.67666
33073,Martin Wieland,76212,75883,0
6373,Dmitry Spiros,86684,75428,37300.12721
476,Grégory Herpe,80858,74578,4317.1525
272,Nestor Toro,87387,74093,26133.57441
15847,Elisa Boughner,84982,73863,48205.0015
9315,Marie Manon Corbeil,86130,73141,93556.9741
12975,Reneta Isin,79138,72962,34671.77695
1717,Oleksii Gnievyshev,84185,72444,22200.5263
36514,Banksy,79978,72155,14621.45338
522,Francesco D'Adamo,86339,71793,44073.88882
1272,Laurent Dorchin,83707,71348,55650.33539
36528,Takashi Murakami,79488,71108,17586.33005
6531,Ira Volkova,76295,71036,7786.10962
30999,TaLisa.,91388,70824,0
7045,Diana Malivani,82092,70455,36678.36927
4545,Wojtek Babski,85620,70238,122399.5322
14115,Muriel Cayet,78092,70062,968.918192
36489,Henri Matisse,76768,69801,0
1202,Shelton Walsmith,92735,69681,2150
3385,Friedrich Wurm,88559,69247,35753.46496
7653,Aelita Andre,78068,69196,7770
8903,Carlos Pun,79404,69061,146891.2903
1298,Fintan Whelan,86281,68412,88725.57976
5947,Elena Dmitrenko,79270,68288,21133.26696
9023,Garry Arzumanyan,71664,68244,0
611,Johann Nußbächer,74148,67946,5455.2806
7733,Barbara Kroll,87925,67656,12249.04679
36500,Joan Miró,72159,67541,13771.84
5715,Mercedes Lagunas,86768,67326,43218.84451
14117,Jean-Paul Schmitt,69113,66338,0
4465,Tran Tuan,70384,66302,11894.657
2657,Miriam Montenegro,96159,66299,5978
33163,PatMoli,113260,65251,0
2259,Karin Vermeer,81655,64835,58420.79834
12529,Arturo Prins,67540,64474,0
3503,Mj Tom Losotros,65224,64121,0
8699,Roberto Gutiérrez Currás,65939,64037,2705.926054
7963,Inez Froehlich,75009,64010,56163.50659
4475,Ashvin Harrison,98663,63781,146792.914
36515,Mr. Brainwash,83075,63528,6248.48806
7079,Yossi Kotler,78894,62874,34919.01335
10585,Vita Schagen,70279,62859,1511
6463,Irina Laube,74158,62211,29234.23936
36518,Keith Haring,64071,61807,9743.655
69025,Doreen Gehrke,61839,61701,0
5531,Robert Tillberg,74844,61011,112350.1
4807,Tatiana Yabloed,69018,60986,7404.524618
1005,Sylwia Synak,75506,60480,8790
5801,Tomoya Nakano,63767,60094,11860.48675
12155,Natalia Nosek (NATXA),75716,59917,124038.7221
2575,Alexander Shandor,69945,59885,11053.87828
15167,RogerM,66238,59873,11034.08684
1514,Bernard Simunovic,74338,59778,27660.96764
36492,David Hockney,61432,59509,7418
17261,Olha Darchuk,80389,59422,42853.60907
1303,Olga Novokhatska,75987,59352,52505.67447
4115,Frank Jähne,67521,59192,25685.86749
3207,Isabel Mahe,66062,58670,7308
3043,Donatella Marraoni,68201,58507,13326.71196
13991,Harry Holland,77665,58296,79421.7722
10221,Gardani,68407,58130,7198.30556
22865,Shlomit Aharonovitch,58222,58109,0
898,Tarek Ben Yakhlef,61781,58077,670
4651,Viktor Sheleg,77313,57737,11736.516
59,Hugo Pondz,81932,57536,78561.8234
4049,Oleg Riabchuk,69564,57035,34860.03932
