artist_id,artist_name,entry_sessions,entry_sessions_organic_direct,entry_BV
3841,Ruslan Khais,1410749,1403521,2059.05535
3143,Pol Ledent,321787,206085,76780.552127
6303,Françoise Leblond,313499,147521,4191.16387
57043,Julian Adrat,277897,277843,0
10109,Larissa Abtova,264596,254481,0
36501,Pablo Picasso,252789,230837,18286.030662
36504,Salvador Dalí,242453,212619,7396.93187
63,Olivier Messas,231172,186401,166653.852942
8221,Thomas Dellert,190740,184631,6191.763855
2493,Peter Nottrott,176683,137590,146200.917144
2759,Jean Mirre,164183,155518,7071.91646
34239,Art Taghera,148788,146018,0
2099,Ta Byrne,146459,118188,153562.060042
259,Niki Hare,141218,85916,307423.223215
2627,Carlos Martin,138002,100841,40481.533302
1579,Alessandro Siviglia,128651,102316,71040.541584
18369,Axelle Bosler,125525,113053,21682.797136
36491,Marc Chagall,125060,115142,670
168,François Pagé,122455,114086,42912.687246
3567,Eka Peradze,114295,95141,49495.115249
33163,PatMoli,113260,65251,0
86,Vincent Bardou,112571,87918,112051.356269
7037,Maria Moretti,110027,89859,131181.12939
707,Joan Llaverias,109772,88730,77201.225532
47380,Andrew Scott,109650,109370,3960
14061,Luc Villard,109465,90010,108711.228249
22087,Dolgor Dugarova,106720,90978,0
6223,Silvia Vassileva,106667,77098,8817.40435
8217,Iryna Kastsova,103878,92153,103995.813161
3605,Robert Süess,103645,80825,37496.952278
1973,Kristin Kossi,102422,79412,78364.091676
36722,Shepard Fairey,100277,89523,3969
4475,Ashvin Harrison,98663,63781,146792.914016
3149,Eric Bruni,98531,83808,22521.85874
4477,Rie Kono,97897,83401,57104.849495
1919,Koen Lybaert,97771,79097,67769.145537
2657,Miriam Montenegro,96159,66299,5978
11651,Angie Wright,96082,77351,142112.112221
13923,Philippe Abril,96042,83222,19397.8821
1202,Shelton Walsmith,92735,69681,2150
5113,Michael Andrew Law Cheuk Yui,92210,83681,33924.520432
30999,TaLisa.,91388,70824,0
36512,Andy Warhol,91345,87521,25299.893071
10927,Tony Belobrajdic,90387,77221,9304.733435
3385,Friedrich Wurm,88559,69247,35753.464957
7733,Barbara Kroll,87925,67656,12249.04679
272,Nestor Toro,87387,74093,26133.574407
10581,David Gerstein,87347,32194,38145.71415
5715,Mercedes Lagunas,86768,67326,43218.844507
6373,Dmitry Spiros,86684,75428,37300.12721
522,Francesco D'Adamo,86339,71793,44073.888816
1298,Fintan Whelan,86281,68412,88725.579759
9315,Marie Manon Corbeil,86130,73141,93556.974103
4545,Wojtek Babski,85620,70238,122399.532157
6865,Holger Mühlbauer-Gardemin,84995,80011,31385.4972
15847,Elisa Boughner,84982,73863,48205.0015
1717,Oleksii Gnievyshev,84185,72444,22200.5263
1272,Laurent Dorchin,83707,71348,55650.335392
36515,Mr. Brainwash,83075,63528,6248.48806
449,Kirstin Mccoy,82582,76404,2562.67666
7045,Diana Malivani,82092,70455,36678.369272
59,Hugo Pondz,81932,57536,78561.823402
2259,Karin Vermeer,81655,64835,58420.798342
11905,Hassan Massoudy,81547,55819,49213.291911
476,Grégory Herpe,80858,74578,4317.1525
17261,Olha Darchuk,80389,59422,42853.609065
36514,Banksy,79978,72155,14621.453384
36528,Takashi Murakami,79488,71108,17586.330046
8903,Carlos Pun,79404,69061,146891.290336
3197,Javier Torices,79342,48963,37626.06693
5947,Elena Dmitrenko,79270,68288,21133.266955
12975,Reneta Isin,79138,72962,34671.77695
7079,Yossi Kotler,78894,62874,34919.01335
14115,Muriel Cayet,78092,70062,968.918192
7653,Aelita Andre,78068,69196,7770
13991,Harry Holland,77665,58296,79421.772201
4651,Viktor Sheleg,77313,57737,11736.516
36489,Henri Matisse,76768,69801,0
57146,Ryohei Kubo,76753,76731,0
6531,Ira Volkova,76295,71036,7786.10962
33073,Martin Wieland,76212,75883,0
1303,Olga Novokhatska,75987,59352,52505.674474
20865,Daria Kolosova,75965,52835,0
12155,Natalia Nosek (NATXA),75716,59917,124038.722103
1005,Sylwia Synak,75506,60480,8790
7963,Inez Froehlich,75009,64010,56163.50659
5531,Robert Tillberg,74844,61011,112350.100004
1514,Bernard Simunovic,74338,59778,27660.96764
4953,Emil Aziz,74253,47775,18724.7647
6463,Irina Laube,74158,62211,29234.239361
611,Johann Nußbächer,74148,67946,5455.2806
36500,Joan Miró,72159,67541,13771.84
9023,Garry Arzumanyan,71664,68244,0
4465,Tran Tuan,70384,66302,11894.657
10585,Vita Schagen,70279,62859,1511
2575,Alexander Shandor,69945,59885,11053.87828
4049,Oleg Riabchuk,69564,57035,34860.039315
15999,Marta Zawadzka,69330,51638,62612.10578
14117,Jean-Paul Schmitt,69113,66338,0
4807,Tatiana Yabloed,69018,60986,7404.524618
10221,Gardani,68407,58130,7198.30556
17623,Art DMP,68309,18136,6555.13812
3043,Donatella Marraoni,68201,58507,13326.71196
4195,Marc Todd,68098,49155,37626.594922
12529,Arturo Prins,67540,64474,0
4115,Frank Jähne,67521,59192,25685.86749
3141,Peter Vahlefeld,67014,55346,357
3797,Mario Henrique,66596,50296,3719.3835
15167,RogerM,66238,59873,11034.08684
14425,Tony Rubino,66090,51532,20533.14696
3207,Isabel Mahe,66062,58670,7308
8699,Roberto Gutiérrez Currás,65939,64037,2705.926054
10625,Manuela Rathje,65566,47266,9406.442
3503,Mj Tom Losotros,65224,64121,0
3167,Sniege,64649,53913,60068.514862
2429,Astrid Stoeppel,64619,54304,40848.441098
2933,Anastasiya Valiulina,64583,54971,14997.146224
8963,Elena Lukina,64558,53099,21316.423226
3741,Yvonne Coomber,64418,37149,1891.19388
36518,Keith Haring,64071,61807,9743.655
11085,Jonathan Pradillon,63964,47495,0
5801,Tomoya Nakano,63767,60094,11860.48675
5123,Claire Desjardins,63586,39638,37365.421168
14821,Emily Starck,61969,53803,11320.236949
69025,Doreen Gehrke,61839,61701,0
10995,Nicolae Prisac,61819,56206,9379.53204
898,Tarek Ben Yakhlef,61781,58077,670
36492,David Hockney,61432,59509,7418
731,Patrick Cornée,60619,49325,16241.05272
8157,Viktoria Lapteva,60590,50899,5778.8262
2205,Ovidiu Kloska,60542,51430,20153.554128
5423,Stefan Szczesny,60083,44256,16684.14552
13921,Marie Rouach,59626,50759,81996.747065
2303,Sophie Duplain,59253,49680,26602.80783
2653,Arno Bruse,58969,51001,26972.783198
10535,Peter Wood,58939,46390,3236.00475
2401,Monika Luniak,58868,52976,6432.3752
3505,Annette Schmucker,58740,36943,4558.865
14855,Benoît Havard,58721,48461,35391.2144
3367,Anne Samson,58661,50570,20527.977167
28249,Serhiy Berezin,58542,47872,0
13231,Aleks Rosenberg,58303,55451,2630
22865,Shlomit Aharonovitch,58222,58109,0
5523,Silvia Pavlova,58019,47892,30790.855725
