artist_id,artist_name,pull_ratio,entry_over_total_bv,total bv,quadrant
14,Laurent Prudot,0.021642,0.080483,61032.0,"BV but no pull (Low Pull, High Entry BV)"
43,Nadine Bourgne,0.056852,0.232671,31461.0,"BV but no pull (Low Pull, High Entry BV)"
63,Olivier Messas,0.018459,0.071808,756393.0,"BV but no pull (Low Pull, High Entry BV)"
85,Richard Dubure,0.031586,0.048245,48087.0,"BV but no pull (Low Pull, High Entry BV)"
86,Vincent Bardou,0.020998,0.071784,630175.0,"BV but no pull (Low Pull, High Entry BV)"
96,Richard Vildeman,0.057572,0.176252,6136.0,"BV but no pull (Low Pull, High Entry BV)"
109,Cécile Duchêne-Malissin,0.032642,0.060224,71676.0,"BV but no pull (Low Pull, High Entry BV)"
158,Patricia Paolozzi Cain,0.042932,1.0,900.0,"BV but no pull (Low Pull, High Entry BV)"
159,Nadja Gabriela Plein,0.034677,0.576713,13203.0,"BV but no pull (Low Pull, High Entry BV)"
168,François Pagé,0.023254,0.013682,186382.0,"BV but no pull (Low Pull, High Entry BV)"
191,Valérie Depadova,0.052164,0.231195,133576.0,"BV but no pull (Low Pull, High Entry BV)"
213,Victoria Horkan,0.051408,0.118261,7596.0,"BV but no pull (Low Pull, High Entry BV)"
220,Corinne Natel,0.018209,0.424165,6594.0,"BV but no pull (Low Pull, High Entry BV)"
225,Glib Franko,0.029951,0.176772,59207.0,"BV but no pull (Low Pull, High Entry BV)"
242,Karoline Kroiß,0.027383,0.254679,195723.0,"BV but no pull (Low Pull, High Entry BV)"
247,Jacques Pugin,0.057839,1.0,5000.0,"BV but no pull (Low Pull, High Entry BV)"
253,Lezzueck Coosemans,0.047754,0.212446,96467.0,"BV but no pull (Low Pull, High Entry BV)"
259,Niki Hare,0.028111,0.112458,1082511.0,"BV but no pull (Low Pull, High Entry BV)"
272,Nestor Toro,0.012775,0.103582,198823.0,"BV but no pull (Low Pull, High Entry BV)"
323,Dagmar Vogt,0.054918,0.347982,92898.0,"BV but no pull (Low Pull, High Entry BV)"
361,Claude-Max Lochu,0.033085,0.104481,11102.0,"BV but no pull (Low Pull, High Entry BV)"
365,Ansgar Skiba,0.042822,0.453239,65173.0,"BV but no pull (Low Pull, High Entry BV)"
386,Claire Moog,0.045416,0.13904,6250.0,"BV but no pull (Low Pull, High Entry BV)"
395,Super Pop Boy,0.04192,0.023914,16308.0,"BV but no pull (Low Pull, High Entry BV)"
438,Corinna Holthusen,0.048637,0.140741,2700.0,"BV but no pull (Low Pull, High Entry BV)"
449,Kirstin Mccoy,0.051046,0.010474,85423.0,"BV but no pull (Low Pull, High Entry BV)"
452,Ron Weijers,0.041764,1.0,900.0,"BV but no pull (Low Pull, High Entry BV)"
493,Gina Parr,0.036972,0.162066,26733.0,"BV but no pull (Low Pull, High Entry BV)"
499,Christiane Guerry,0.02185,0.029998,31787.0,"BV but no pull (Low Pull, High Entry BV)"
