artist_id,quadrant
14,"BV but no pull (Low Pull, High Entry BV)"
43,"BV but no pull (Low Pull, High Entry BV)"
63,"BV but no pull (Low Pull, High Entry BV)"
85,"BV but no pull (Low Pull, High Entry BV)"
86,"BV but no pull (Low Pull, High Entry BV)"
96,"BV but no pull (Low Pull, High Entry BV)"
109,"BV but no pull (Low Pull, High Entry BV)"
158,"BV but no pull (Low Pull, High Entry BV)"
159,"BV but no pull (Low Pull, High Entry BV)"
168,"BV but no pull (Low Pull, High Entry BV)"
191,"BV but no pull (Low Pull, High Entry BV)"
213,"BV but no pull (Low Pull, High Entry BV)"
220,"BV but no pull (Low Pull, High Entry BV)"
225,"BV but no pull (Low Pull, High Entry BV)"
242,"BV but no pull (Low Pull, High Entry BV)"
247,"BV but no pull (Low Pull, High Entry BV)"
253,"BV but no pull (Low Pull, High Entry BV)"
259,"BV but no pull (Low Pull, High Entry BV)"
272,"BV but no pull (Low Pull, High Entry BV)"
323,"BV but no pull (Low Pull, High Entry BV)"
361,"BV but no pull (Low Pull, High Entry BV)"
365,"BV but no pull (Low Pull, High Entry BV)"
386,"BV but no pull (Low Pull, High Entry BV)"
395,"BV but no pull (Low Pull, High Entry BV)"
438,"BV but no pull (Low Pull, High Entry BV)"
449,"BV but no pull (Low Pull, High Entry BV)"
452,"BV but no pull (Low Pull, High Entry BV)"
493,"BV but no pull (Low Pull, High Entry BV)"
499,"BV but no pull (Low Pull, High Entry BV)"
500,"BV but no pull (Low Pull, High Entry BV)"
507,"BV but no pull (Low Pull, High Entry BV)"
522,"BV but no pull (Low Pull, High Entry BV)"
524,"BV but no pull (Low Pull, High Entry BV)"
528,"BV but no pull (Low Pull, High Entry BV)"
533,"BV but no pull (Low Pull, High Entry BV)"
536,"BV but no pull (Low Pull, High Entry BV)"
537,"BV but no pull (Low Pull, High Entry BV)"
557,"BV but no pull (Low Pull, High Entry BV)"
613,"BV but no pull (Low Pull, High Entry BV)"
684,"BV but no pull (Low Pull, High Entry BV)"
689,"BV but no pull (Low Pull, High Entry BV)"
707,"BV but no pull (Low Pull, High Entry BV)"
716,"BV but no pull (Low Pull, High Entry BV)"
721,"BV but no pull (Low Pull, High Entry BV)"
724,"BV but no pull (Low Pull, High Entry BV)"
731,"BV but no pull (Low Pull, High Entry BV)"
745,"BV but no pull (Low Pull, High Entry BV)"
779,"BV but no pull (Low Pull, High Entry BV)"
785,"BV but no pull (Low Pull, High Entry BV)"
793,"BV but no pull (Low Pull, High Entry BV)"
826,"BV but no pull (Low Pull, High Entry BV)"
833,"BV but no pull (Low Pull, High Entry BV)"
850,"BV but no pull (Low Pull, High Entry BV)"
867,"BV but no pull (Low Pull, High Entry BV)"
885,"BV but no pull (Low Pull, High Entry BV)"
