deactivated_type,page_referer,referer_tpl,nb_sessions
deactivated_selected_no_migration,https://www.google.com/,google,696364
deactivated_selected_migrated_churned,https://www.google.com/,google,83031
deactivated_new_artist_churned,https://www.google.com/,google,29199
deactivated_selected_no_migration,https://www.singulart.com/en/,homepage,3614
deactivated_selected_no_migration,https://www.singulart.com/fr/artiste/erika-zolli-10917,artist,3107
deactivated_selected_no_migration,https://www.singulart.com/de/,homepage,2505
deactivated_selected_no_migration,https://www.singulart.com/en/artist/jay-menon-4607,artist,2374
deactivated_selected_no_migration,https://www.singulart.com/,homepage_raw,2299
deactivated_selected_migrated_churned,https://www.singulart.com/en/,homepage,2149
deactivated_selected_migrated_churned,https://www.singulart.com/my-singulart/account,my_singulart_account,1703
deactivated_selected_no_migration,https://www.singulart.com/my-singulart/account,my_singulart_account,1603
deactivated_selected_no_migration,https://www.singulart.com/fr/,homepage,1486
deactivated_selected_no_migration,https://www.singulart.com/en/emerging-artists,artists_emerging,1439
deactivated_selected_no_migration,https://www.singulart.com/de/k%c3%bcnstler/antonino-zambito-33544?page=1,artist,1351
deactivated_selected_no_migration,https://www.singulart.com/de/wishlist,wishlist_index,1301
deactivated_new_artist_churned,https://www.singulart.com/en/,homepage,1159
deactivated_new_artist_churned,https://www.singulart.com/my-singulart/account,my_singulart_account,1112
deactivated_selected_no_migration,https://www.singulart.com/de/aufstrebende-k%C3%BCnstler,artists_emerging,1045
deactivated_selected_no_migration,https://www.singulart.com/en/wishlist,wishlist_index,1040
deactivated_selected_no_migration,https://www.singulart.com/it/artisti-emergenti,artists_emerging,1029
deactivated_selected_no_migration,https://www.singulart.com/de/privacy/cookies,privacy_cookies,987
deactivated_selected_no_migration,https://www.singulart.com/en/artists/painters,artists_filters,962
deactivated_new_artist_churned,https://www.singulart.com/fr/nouveaux-artistes,artist_badge_new_online,860
deactivated_new_artist_churned,https://www.singulart.com/my-singulart/account/portfolio/artworks,my_singulart_account_portfolio_artworks,842
deactivated_new_artist_churned,https://www.singulart.com/en/new-artists,artist_badge_new_online,837
deactivated_new_artist_churned,https://www.singulart.com/en/artist/sony-das-57335,artist,831
deactivated_new_artist_churned,https://www.singulart.com/de/neuer-k%C3%BCnstler,artist_badge_new_online,784
deactivated_selected_no_migration,https://www.singulart.com/de/account/subscriptions,my_subscriptions,783
deactivated_selected_migrated_churned,https://www.singulart.com/fr/,homepage,743
deactivated_selected_no_migration,https://www.singulart.com/es/artistas-emergentes,artists_emerging,739
deactivated_selected_migrated_churned,https://www.singulart.com/my-singulart/dashboard/visibility,my_singulart_dashboard_visibility,733
deactivated_new_artist_churned,https://www.singulart.com/my-singulart/account/portfolio,my_singulart_account_portfolio,709
deactivated_new_artist_churned,https://www.singulart.com/my-singulart/account/photos,my_singulart_account_photos,709
deactivated_selected_no_migration,https://www.singulart.com/es/artistas/pintores/mexicanos,artists_filters,708
deactivated_selected_no_migration,https://www.singulart.com/en/account/subscriptions,my_subscriptions,678
deactivated_selected_migrated_churned,https://www.singulart.com/my-singulart/account/portfolio,my_singulart_account_portfolio,677
deactivated_new_artist_churned,https://www.singulart.com/de/,homepage,672
deactivated_selected_migrated_churned,https://www.singulart.com/de/,homepage,665
