artist_id,email_1st_click_campaign_name,nb_sales,total_bv
36531,INTERNAL_CAMPAIGN_DIRECT_ACCESS,4,143078.5515
36514,ADWORDS_GENERAL,27,96689.71123
,INTERNAL_CAMPAIGN_DIRECT_ACCESS,58,77179.17852
36501,ADWORDS_GENERAL,50,64272.471163
27729,TEMPLATE ARTIST,2,56000
81674,ADWORDS_GENERAL,2,51875.46048
45670,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,44603.150264
36515,ADWORDS_GENERAL,5,43462.762834
27745,INTERNAL_CAMPAIGN_DIRECT_ACCESS,13,40831.852766
36517,INTERNAL_CAMPAIGN_SEO_BRAND_GOOGLE,1,35931.06
26711,TEMPLATE ARTIST,2,34680
36504,ADWORDS_GENERAL,25,33405.307951
67797,TEMPLATE ARTWORK,3,32494.187206
36515,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,31612.5569
,INTERNAL_CAMPAIGN_SEA_BRAND,18,31474.01025
3141,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,31243.9588
4477,ADWORDS_GENERAL,2,31042.155365
,TEMPLATE_ARTWORK_GRAND,1,31000
,ADWORDS_GENERAL,39,30183.77006
13993,ADWORDS_GENERAL,10,29811
10905,EMAIL_TRANSACTIONAL_MAO_PARTIAL_ACCEPT,7,29100.01
36504,INTERNAL_CAMPAIGN_DIRECT_ACCESS,10,28752.46
36620,TEMPLATE_GRAND_ARTIST,1,27700
36512,ADWORDS_GENERAL,11,27439.916646
36518,TEMPLATE ARTIST,4,26175.08987
28195,ADWORDS_GENERAL,6,25454.363996
54192,INTERNAL_CAMPAIGN_WEBMAIL,1,24480
36501,INTERNAL_CAMPAIGN_SEO_UNKNOWN_REFERAL,2,24297.69
10479,ADWORDS_GALLERIES_CITIES,1,24105.40119
1514,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,23976.323408
36518,TEMPLATE_GRAND_ARTIST,12,23930.588
18921,ADWORDS_GENERAL,10,23921.549998
7037,ADWORDS_GENERAL,14,23672.88204
7821,ADWORDS_ARTISTS,1,23342.99248
6865,TEMPLATE ARTIST,10,22765.38576
6373,ADWORDS_GENERAL,12,22395.583596
36501,DISPLAY_ADWORDS_CUSTOM_INTENT_FINANCE_WEBSITES_MOBILE,2,22000
36501,ADWORDS_GALLERIES_CITIES,6,21859.309512
11651,ADWORDS_GENERAL,13,21700.305622
24617,INTERNAL_CAMPAIGN_SEA_BRAND,7,21648.98
7755,TEMPLATE ARTIST,5,21444.31
42536,INTERNAL_CAMPAIGN_SEO_BLOG_REFERAL,4,21136.9776
36528,TEMPLATE_GRAND_ARTIST,3,20916.779836
24223,ADWORDS_GENERAL,2,20850.75
36515,TEMPLATE_ARTWORK_GRAND,2,20500
23919,PERFORMANCE_MAX_SG_ARTIST,4,20440.831452
36492,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,20250
36534,ADWORDS_GENERAL,3,20090
,EMAIL_TRANSACTIONAL_CUSTOM_FOLLOW_ARTISTS,1,20000
36504,ADWORDS_GALLERIES_CITIES,12,19872.8605
33406,ADWORDS_GENERAL,4,19866.831845
4651,TEMPLATE ARTIST,2,19670
10905,FACEBOOK_CONVERSION_LOOKALIKE PURCHASE 6%,8,19399.99
7963,ADWORDS_GENERAL,13,19052
12539,INTERNAL_CAMPAIGN_DIRECT_ACCESS,3,18869.86723
4545,INTERNAL_CAMPAIGN_DIRECT_ACCESS,4,18566.51577
13379,INTERNAL_CAMPAIGN_DIRECT_ACCESS,2,18500
28223,INTERNAL_CAMPAIGN_DIRECT_ACCESS,1,18499.84704
36515,INTERNAL_CAMPAIGN_SEO_BRAND_GOOGLE,1,18434.8
8769,INTERNAL_CAMPAIGN_DIRECT_ACCESS,6,17987.9704
