year_month,nb_impressions,nb_sales,first_click_template_artist_bv
2021-07-01,66579,6,8966.131336
2021-08-01,218722,5,5161.727724
2021-09-01,441502,3,910
2021-10-01,734019,3,3085
2021-11-01,543230,11,17097.677
2021-12-01,336197,13,28825.62271
2022-01-01,467476,5,3912.823944
2022-02-01,364867,7,4941.646393
2022-03-01,316760,8,8690.105436
2022-04-01,316094,3,1694.5008
2022-05-01,234432,2,2166.909395
2022-06-01,144905,3,2935.54266
2022-07-01,164925,3,4000
2022-08-01,236060,7,6114.68639
2022-09-01,251779,3,3235.8444
2022-10-01,344483,5,2854.721115
2022-11-01,330238,2,1040
2022-12-01,261501,5,5672.19185
2023-01-01,298421,4,5311.41894
2023-02-01,309747,1,1250
2023-03-01,319060,2,530
2023-04-01,235907,0,0
2023-05-01,189722,2,3010
2023-06-01,127915,1,880
2023-07-01,142690,2,2989.8159
2023-08-01,184688,1,320
2023-09-01,193324,3,1956.3701
2023-10-01,213970,3,1664.225843
2023-11-01,186481,1,1379.676
2023-12-01,173159,1,850
2024-01-01,154722,4,5643.14507
2024-02-01,123828,2,597.5705
2024-03-01,138769,3,2260
2024-04-01,173243,3,5560.49
2024-05-01,105425,4,4435.1553
2024-06-01,81622,4,1425.648
2024-07-01,86157,2,5252.6868
2024-08-01,124190,2,980.048
2024-09-01,197150,2,2064.71815
2024-10-01,272422,0,0
2024-11-01,347774,2,399
2024-12-01,351887,2,3730
2025-01-01,344804,4,6375
2025-02-01,297259,1,230
2025-03-01,269615,3,5236.33686
2025-04-01,159462,1,1940
2025-05-01,202853,1,1963
2025-06-01,171183,0,0
2025-07-01,166934,8,7064.66208
2025-08-01,180205,1,630
2025-09-01,164656,2,3345.03312
2025-10-01,141326,2,940
2025-11-01,144212,3,1846.039872
2025-12-01,139162,1,287
2026-01-01,140343,1,497
2026-02-01,71837,0,0
2026-03-01,38731,0,0
2026-04-01,3970,0,0
2026-05-01,18036,0,0
2026-06-01,6195,0,0
