km,dist_m,ele_up,ele_down,net_ele,pace_min_km,split,cumul_time
1,1021,158,0,158,8:19,8:30,8:30
2,1038,64,0,64,7:23,7:40,16:09
3,985,13,132,-119,6:21,6:15,22:25
4,962,30,74,-44,6:36,6:21,28:46
5,995,81,0,81,7:35,7:32,36:18
6,1068,123,41,82,7:32,8:03,44:21
7,940,70,45,25,7:01,6:36,50:57
8,1045,12,8,4,6:48,7:06,58:03
9,961,0,52,-52,6:34,6:19,64:22
10,1033,2,62,-60,6:33,6:47,71:08
11,964,2,97,-95,6:25,6:12,77:20
12,996,142,4,138,8:09,8:08,85:28
13,1021,68,9,59,7:20,7:29,92:57
14,984,0,85,-85,6:28,6:22,99:19
15,1007,11,141,-130,6:19,6:22,105:41
16,1005,91,7,84,7:36,7:38,113:19
17,1006,123,34,89,7:39,7:42,121:01
18,994,43,84,-41,6:37,6:34,127:35
19,1008,9,125,-116,6:22,6:25,134:00
20,1001,69,47,22,6:59,6:59,140:59
21,976,136,11,125,8:03,7:52,148:51
22,1004,69,93,-24,6:40,6:42,155:33
23,993,84,41,43,7:12,7:08,162:41
24,1003,30,38,-8,6:44,6:45,169:26
25,1096,42,71,-29,6:40,7:18,176:45
26,931,17,25,-8,6:44,6:16,183:00
27,983,33,95,-62,6:32,6:26,189:26
28,1006,30,113,-83,6:29,6:31,195:57
29,1011,13,37,-24,6:40,6:45,202:42
30,997,65,24,41,7:10,7:09,209:51
31,978,71,29,42,7:11,7:02,216:53
32,1119,92,21,71,7:24,8:17,225:09
33,880,78,3,75,7:37,6:42,231:52
34,1116,0,131,-131,6:21,7:06,238:57
35,914,35,77,-42,6:36,6:02,244:59
36,962,122,12,110,7:55,7:37,252:36
37,997,35,150,-115,6:22,6:21,258:56
38,1006,51,56,-5,6:44,6:47,265:43
39,1049,111,26,85,7:35,7:57,273:39
40,986,18,102,-84,6:28,6:23,280:02
41,988,56,72,-16,6:42,6:37,286:39
42,519,1,49,-48,6:27,3:21,289:60
